,NCT#,phase,condition,sponsor,start_date,mesh_list,criterion,Ground_Truth
549,NCT03012061,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"Current smoker or a smoking history of >=10 pack years (e.g., 20 cigarettes/day for 10 years). A subject may not have used inhaled tobacco products within the past 12 months (i.e., cigarettes, e-cigarettes/vaping, cigars or pipe tobacco).",15.0
550,NCT01479621,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,"Current smoker or a smoking history of 10 pack years or more (a pack year is defined as smoking 1 pack of cigarettes/day for 1 year). A subject may not have used tobacco products within the past one year (e.g., cigarettes, cigars, chewing tobacco, or pipe tobacco)",15.0
551,NCT01576718,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,"Current smoker or a smoking history of 10 pack years or more (a pack year is defined as smoking 1 pack of cigarettes/day for 1 year). A subject may not have used tobacco products within the past one year (e.g., cigarettes, cigars, chewing tobacco, or pipe tobacco)",15.0
552,NCT01951222,Phase 2,Asthma,Pierre Fabre Medicament,10-Feb-15,Asthma,Current smoker or former smoker less than 6 months or total lifetime smoking history greater than 10 pack-years.,15.0
553,NCT01545440,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma,Current smoker or former smoker with a history >10 pack years,15.0
554,NCT01545453,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma,Current smoker or former smoker with a history >10 pack years,15.0
555,NCT01948401,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma,Current smoker or former smoker with a smoking history of >15 pack-years,15.0
556,NCT01987492,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma,Current smoker or former smoker with a smoking history of more than 15 pack-years,15.0
557,NCT00534625,Phase 2,Asthma,Critical Therapeutics,10-Feb-15,Asthma,Current smoker or H/O > 15 pack years,15.0
558,NCT02099656,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma;Inflammation,"Current smoker or history of smoking (greater than [>] 10 pack-years), or unwillingness to abstain from smoking for the duration of the study",15.0
559,NCT01641692,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Current smoker or smoking history of 10 pack years or more,15.0
560,NCT01704495,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,Current smoker or smoking history of more than 20 pack years ,15.0
561,NCT01366521,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Current smokers (any subject who has smoked within the six months prior to screening or has a positive urine cotinine at screening) or subjects with a smoking history of >10 pack years calculated as follows: Number of cigarettes per day X number of years smoked 20,15.0
562,NCT03364608,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"Current smokers, former smokers with >10 pack-years history, or former smokers who stopped smoking <6 months (including all forms of tobacco, e-cigarettes [vaping], and marijuana)",15.0
563,NCT03371459,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"Current smokers, former smokers with >10 pack-years history, or former smokers who stopped smoking <6 months (including all forms of tobacco, e-cigarettes [vaping], and marijuana)",15.0
564,NCT01425801,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"Current smokers, former smokers within the last 6 months, or ex-smokers with a history of more than 10 pack-years",15.0
565,NCT00614874,Phase 2,Asthma,Creighton University,10-Feb-15,Asthma,"Current smokers, greater than 10 pack year history, or patients quitting less than 1 year prior to screening",15.0
566,NCT01939587,Phase 2,Asthma,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,10-Feb-15,Respiratory Hypersensitivity,"Current smokers, smokers within six months prior to Visit 1, or subjects with an smoking history greater than 5 pack-years.",15.0
567,NCT02635945,Phase 2,Asthma,Palobiofarma SL,10-Feb-15,Asthma,"Current smokers, smokers within six months prior to Visit V1, or subjects with an smoking history greater than 10 packs-years",15.0
568,NCT03084718,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,Asthma,"Current smokers or ex-smokers (tobacco, vapor cigarettes, marijuana) with a smoking history of >10 pack-years or having stopped smoking one year or less prior to screening visit.",15.0
569,NCT03086460,Phase 2,Asthma,Chiesi Farmaceutici S.p.A.,10-Feb-15,Asthma,"Current smokers or ex-smokers (tobacco, vapor cigarettes, marijuana) with a smoking history of >10 pack-years or having stopped smoking one year or less prior to screening visit.",15.0
570,NCT01123252,Phase 2,Seasonal Affective Rhinitis;Asthma;Grass Allergy,University of East Anglia,10-Feb-15,"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal",Current smokers or ex-smokers of <1 year or those who have smoked the equivalent of 20 cigarettes/day for 20 years or more.,15.0
571,NCT01437735,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Current smokers or ex-smokers who stopped smoking within 6 months prior to screening or have a smoking history of ≥ 10 pack years. ,15.0
572,NCT00640016,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Current smokers or ex-smokers with greater than 10 pack-years,15.0
573,NCT03707678,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Current smokers or former smokers with a smoking history >=10 pack years.,15.0
574,NCT03207243,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Current smokers or former smokers with a smoking history more than or equal to 10 pack years.,15.0
575,NCT02162784,Phase 2,Asthma,Intech Biopharm Ltd.,10-Feb-15,Asthma,"Current smokers or recent (less than one year) ex-smokers, defined as smoking at least 10 pack/years;",15.0
576,NCT01256086,Phase 2,Asthma,MEDA Pharma GmbH & Co. KG,10-Feb-15,Asthma,Current smokers or regular smokers during last 12 months or more than 10 pack-year history,15.0
577,NCT01841281,Phase 2,Asthma;Inflammation,Nicholas Kenyon,10-Feb-15,Asthma;Inflammation,Current smokers or smoking history > 15 pack years,15.0
578,NCT01000506,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Current smokers or smoking history of >=10 pack years,15.0
579,NCT02105012,Phase 2,Asthma,"Pearl Therapeutics, Inc.",10-Feb-15,Asthma,"Current smokers or subjects with a > 10 pack year history of cigarettes, cigars, or pipe smoking",15.0
580,NCT02054130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Current smokers or subjects with a smoking history of ≥ 10 pack years,15.0
581,NCT02698501,Phase 2,Asthma,Celeste Porsbjerg,10-Feb-15,Asthma,Current smokers or subjects with a smoking history of ≥ 10 pack years. Former smokers with < 10 pack years must have stopped for at least 6 months to be eligible,15.0
582,NCT02382510,Phase 2,Asthma,"Theron Pharmaceuticals, Inc.",10-Feb-15,Asthma,"Current smokers or vapers, or former smokers with > 10 pack-year (self-reported) history of smoking",15.0
583,NCT02687815,Phase 2,Asthma,"Juan Celedon, MD",10-Feb-15,Asthma,"Current smoking, or former smoking if ≥5 pack-years",15.0
584,NCT03762395,Phase 2,Asthma;Obesity,"University of Colorado, Denver",10-Feb-15,Asthma,"Current smoking or have former smokers that quit within the previous 1 year, or 10 pack years ",15.0
585,NCT01097694,Phase 2,Asthma,Brigham and Women's Hospital,10-Feb-15,Asthma,Current smoking or smoking history of greater than 10 pack-years,15.0
586,NCT02449473,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,Current tobacco smoking or a history of tobacco smoking for >10 pack-years,15.0
587,NCT00590720,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Current use of tobacco products or a history of use of tobacco products of more than one cigarette per month or equivalent within 1 year prior to randomization or history of smoking of ≥ 10 pack-years;,15.0
588,NCT03643874,Phase 2,Asthma,"Concentrx Pharmaceuticals, Inc.",10-Feb-15,Asthma,"Currently a smoker, or a former smoker with > 10 pack-year history, or a former smoker who stopped smoking <1 year before the Screening Visit",15.0
589,NCT01200108,Phase 2,Asthma,Activaero GmbH,10-Feb-15,Asthma,Currently smoking or history of smoking ≥ 10 pack years,15.0
590,NCT01955512,Phase 2,Asthma,University of Southampton,10-Feb-15,Asthma,ex smoker who quit <1 year prior to study and pack history >10 pack years,15.0
591,NCT02087644,Phase 2,Asthma,Cytos Biotechnology AG,10-Feb-15,Asthma,"Ex-smokers for less than 1 year, with a tobacco smoking history of >10 pack years",15.0
592,NCT01930461,Phase 2,Asthma;House Dust Mite Allergy,Stallergenes Greer,10-Feb-15,Asthma,Former smoker with > 10 pack year history or current smoker.,15.0
593,NCT01582503,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma,Former smoker with >10 pack-year history or current smoker; former smokers must have stopped smoking more than 12 months prior to Visit 1,15.0
594,NCT02054130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Former smokers with < 10 pack years must have stopped for at least 1 year to be eligible.,15.0
595,NCT01304628,Phase 2,Asthma,Palatin Technologies,10-Feb-15,Asthma,Greater than 10 packs per year smoking history and any cigarette smoking within the past 12 months,15.0
596,NCT03532490,Phase 2,Asthma;Obesity,Johns Hopkins University,10-Feb-15,Asthma,"Greater than 20 pack year smoking history, or smoking within the last 6 months.",15.0
597,NCT00318747,Phase 2,"Asthma;Allergy;Allergic Rhinitis;Rhinitis, Allergic, Seasonal",National Institute of Allergy and Infectious Diseases (NIAID),10-Feb-15,"Rhinitis;Asthma;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal",Greater than 5 pack/year history of smoking,15.0
598,NCT01765192,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,Has a history of smoking within 1 year of Visit 1 and smoking history ≥10 pack years,15.0
599,NCT01823016,Phase 2,Asthma,"Janssen Research & Development, LLC",10-Feb-15,Asthma,Has smoked within 3 years of Screening Visit 1 or has a history of smoking ≥ 10 pack years,15.0
600,NCT00783289,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of cigarette smoking >=10 pack years,15.0
601,NCT00768079,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of cigarette smoking >20 pack years,15.0
602,NCT01238861,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of cigarette smoking more than or equal to (>=) 10 pack-years or smoking within 12 months prior to screening.,15.0
603,NCT00758589,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,History of smoking of more than 10 pack years,15.0
604,NCT00507130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of use of tobacco products of more than one cigarette per month or equivalent within 1 year prior to randomization or history of smoking of ≥ 10 pack-years;,15.0
605,NCT00483041,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of use of tobacco products of more than one cigarette per month or equivalent within 1 year prior to screening or history of smoking of ≥ 10 pack-years;,15.0
606,NCT00394654,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History of use of tobacco products within 2 years of baseline or history of smoking >= 10 pack-years;,15.0
607,NCT00873860,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History suggestive of chronic obstructive pulmonary disease (COPD) and of cigarette smoking >=10 pack-years,15.0
608,NCT00968669,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,History suggestive of COPD or of tobacco smoking ≥ 10 pack-years,15.0
609,NCT04129931,Phase 2,Asthma,"University of North Carolina, Chapel Hill",10-Feb-15,Asthma,If ≥40 years old: Smoked ≥15 pack years,15.0
610,NCT04129931,Phase 2,Asthma,"University of North Carolina, Chapel Hill",10-Feb-15,Asthma,If <30 years old: Smoked for ≥5 pack-years*,15.0
611,NCT04129931,Phase 2,Asthma,"University of North Carolina, Chapel Hill",10-Feb-15,Asthma,If 30-39 years old: Smoked for ≥10 pack years,15.0
612,NCT03292588,Phase 2,Asthma,National Institute of Allergy and Infectious Diseases (NIAID),10-Feb-15,Asthma,Is a current smoker or has a smoking history of 10 or more pack years;,15.0
613,NCT01499446,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"Is a current smoker or has a smoking history of 10 pack years or more (e.g., 20 cigarettes/day for 10 years). Note: Current smoker is defined as currently smoking or stopped smoking within 6 months of screening visit. ",15.0
614,NCT00980200,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,No use of inhaled tobacco products within the past three months or historical use of 10 pack years or more,15.0
615,NCT01436890,Phase 2,Asthma,Glenmark Pharmaceuticals Ltd. India,10-Feb-15,Asthma,Past smoker with a history of ≥10 pack per year or current smoker,15.0
616,NCT01609478,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Patients who are current smokers or have a smoking history of greater than 10 pack years (defined as the number of packs of 20 cigarettes smoked per day multiplied by number of years the patient smoked).,15.0
617,NCT04410523,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Patients who have a cigarette smoking history of greater than 10 pack years or current smokers.,15.0
618,NCT03944707,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Patients who have smoked or inhaled any substance other than asthma medications within the 6 month period prior to screening, or who have a smoking history of greater than 10 pack years (e.g. 10 pack years = 1 pack/day x 10 years or ½ pack/day x 20 years, etc.).",15.0
619,NCT03299686,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Patients who have smoked or inhaled nicotine or tobacco products within the 6 month period prior to Visit 1 or who have a smoking history of greater than 10 pack years,15.0
620,NCT00403754,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Patients who have used tobacco products within 6 months prior to the first day of screening or have a smoking history of greater than 10 pack years.,15.0
621,NCT00557440,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,"Patients who have used tobacco products within the 6 months period prior to Visit 1, or who have a smoking history of greater than 10 pack years.",15.0
622,NCT00024544,Phase 2,Asthma,Facet Biotech,10-Feb-15,Asthma,Patients with > 10 pack years of smoking history or smoking within 12 months of study enrollment,15.0
623,NCT00028288,Phase 2,Asthma,Facet Biotech,10-Feb-15,Asthma,Patients with 10 or more pack years of smoking history or smoking within 12 months of study enrollment,15.0
624,NCT00317044,Phase 2,Asthma;GERD,AstraZeneca,10-Feb-15,Asthma,Patients with a smoking history of ≥10 pack-year.,15.0
625,NCT02491684,Phase 2,Asthma,AstraZeneca,10-Feb-15,Infections;Respiratory Tract Infections;Asthma,Patients with a smoking history of ≥20 pack-years (1 pack year = 20 cigarettes smoked per day for one year),15.0
626,NCT00467740,Phase 2,Asthma,Boehringer Ingelheim,10-Feb-15,Asthma,Patients with a smoking history of more than 10 pack years,15.0
627,NCT00545272,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,"Patients with Chronic Obstructive Pulmonary Disease (COPD), or current smokers, or patients who have used tobacco products within the 6 month period prior to Visit 1, or who have a smoking history of greater than 10 pack years.",15.0
628,NCT02712047,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Pregnancy and Lactating Females:,15.0
629,NCT00556673,Phase 2,Asthma,Novartis,10-Feb-15,Asthma,Recent use of tobacco or history of smoking > 10 pack years,15.0
630,NCT01196039,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,"Regular use of tobacco products of any kind or within the previous 6 months, or smoking history > 10 pack-years",15.0
631,NCT00983658,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,"Regular use of tobacco products of any kind or within the previous 6 months, or smoking history > 10 pack-years ",15.0
632,NCT00838591,Phase 2,Asthma,MediciNova,10-Feb-15,Asthma,Self-reported history of greater than 20 pack-yr smoking history;,15.0
633,NCT00394914,Phase 2,Asthma;Common Cold;Picornavirus Infection;Rhinovirus,Merck Sharp & Dohme Corp.,10-Feb-15,Common Cold;Picornaviridae Infections;Asthma,Smoker or ex-smoker and has smoked within the previous 5 years of Screening or has had a cumulative smoking history >10 pack years.,15.0
634,NCT01225549,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,Smoker or ex-smoker who has stopped smoking < 12 months prior to study start,15.0
635,NCT03774290,Phase 2,Asthma,Palobiofarma SL,10-Feb-15,Asthma,"Smokers, deﬁned by smoking within the previous 6 months or having a smoking history of more than 10 packs-years, a pack-year being deﬁned as smoking the equivalent of 20 cigarettes (a pack) per day for 1 year.",15.0
636,NCT04617171,Phase 2,Asthma Attack;Asthma,Singapore General Hospital,10-Feb-15,Asthma,Smokers > 20 pack years,15.0
637,NCT01130064,Phase 2,Asthma,Novartis Pharmaceuticals,10-Feb-15,Asthma,Smoking history >10 pack-years,15.0
638,NCT01174732,Phase 2,Asthma;Bronchospasm,"Amphastar Pharmaceuticals, Inc.",10-Feb-15,Asthma;Bronchial Spasm,"Smoking history of ≥ 10 pack-years, or having smoked within 6 months;",15.0
639,NCT01189396,Phase 2,Asthma;Bronchospasm;Chronic Obstructive Pulmonary Disease (COPD),"Amphastar Pharmaceuticals, Inc.",10-Feb-15,"Asthma;Lung Diseases, Obstructive;Pulmonary Disease, Chronic Obstructive;Bronchial Spasm","Smoking history of ≥ 10 pack-years, or having smoked within 6 months prior to Screening;",15.0
640,NCT00048009,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,,Smoking history of greater than 10 pack-year history of cigarette smoking (number of packs smoked per day times the number of years smoked),15.0
641,NCT00048022,Phase 2,Asthma,Hoffmann-La Roche,10-Feb-15,Asthma,Smoking history of greater than 10 pack-year history of cigarette smoking (number of packs smoked per day times the number of years smoked),15.0
642,NCT02660489,Phase 2,Asthma;Rhinovirus;Picornaviridae Infections;Common Cold,Imperial College London,10-Feb-15,Common Cold;Picornaviridae Infections;Asthma,Smoking history over past 12 months,15.0
643,NCT00830102,Phase 2,Asthma,SkyePharma AG,10-Feb-15,Asthma,Smoking history within the last 12 months,15.0
644,NCT00215358,Phase 2,Asthma,Dey,10-Feb-15,Asthma,Smoking history within the past 12 months or greater than a lifetime 10 pack-year smoking history,15.0
645,NCT00215371,Phase 2,Asthma,Dey,10-Feb-15,Asthma,Smoking history within the past 12 months or greater than a lifetime 10 pack-year smoking history.,15.0
646,NCT02433834,Phase 2,Asthma,"Pearl Therapeutics, Inc.",10-Feb-15,Asthma,"Smoking History: Current smokers or former smokers who have stopped smoking within 6 months prior to enrollment or with a >10 pack year history of cigarettes, cigars, or pipe smoking. E-cigarettes and inhaled marijuana should be treated in the same manner as tobacco products",15.0
647,NCT03393806,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Smoking history: current smokers or former smokers with a smoking history >= 10 pack years,15.0
648,NCT01225315,Phase 2,Asthma,Idorsia Pharmaceuticals Ltd.,10-Feb-15,Asthma,"Smoking within the last year, or life-time consumption > / = 10 pack-years (e.g., 20 cigarettes/day for 10 years)",15.0
649,NCT01656811,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Subject had a history of cigarette smoking or use of other tobacco products.,15.0
650,NCT00684866,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Subject with a history of cigarette smoking or use of any tobacco products.,15.0
651,NCT00685347,Phase 2,Asthma;Bronchoconstriction,Sunovion,10-Feb-15,Asthma,Subject with a history of cigarette smoking or use of any tobacco products.,15.0
652,NCT00684827,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Subject with greater than 10 pack year history of cigarette smoking or use of any tobacco products within 6 months of study start.,15.0
653,NCT00685022,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Subject with greater than 10 pack year history of cigarette smoking or use of any tobacco products within 6 months of study start.,15.0
654,NCT02794519,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"Subjects with a smoking history of >=10 pack years (pack years = number of cigarettes smoked per day divided by 20 into number of years smoked). Note: Subjects who are current smokers, or ex-smokers (having given up smoking for >=6 months), are eligible for the study if their smoking history is <10 pack years.",15.0
655,NCT00280683,Phase 2,Asthma,"University of California, Davis",10-Feb-15,Asthma,Subjects with more than a 15 pack-year history of smoking ,15.0
656,NCT04847674,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,"The participant currently smokes or has a smoking history of 10 pack years or more (a pack year is defined as smoking 1 pack of cigarettes [20 cigarettes]/day for 1 year), OR the participant used tobacco or marijuana products within the past year (eg, cigarettes, cigars, chewing tobacco, or pipe tobacco), OR the participant has a history of ""vaping"" tobacco, marijuana, or any other substance within 24 months.",15.0
657,NCT00603382,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"Tobacco Use : Current smoker or a smoking history of 10 pack years or more (e.g. 20 cigarettes/day for 10 years). A subject may not have used tobacco products within the past one year (i.e., cigarettes, cigars, or pipe tobacco).",15.0
658,NCT01296087,Phase 2,Asthma,Targacept Inc.,10-Feb-15,Asthma,"Tobacco use within 3 months prior to Screening, or > 5 pack-year lifetime tobacco use",15.0
659,NCT02712047,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Tobacco Use: Current smokers or a smoking history of >=10 pack years. A subject may not have used any inhaled tobacco products in 12 weeks preceding the screening visit.,15.0
660,NCT00857857,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Urinary cotinine levels indicative of smoking or history or regular use of tobacco- or nicotine-containing products within 3 months prior to screening.,15.0
661,NCT01808339,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Urinary cotinine levels indicative of smoking or history or regular use of tobacco- or nicotine-containing products within 3 months prior to screening.,15.0
662,NCT01400906,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,urinary cotinine levels indicative of smoking or history or regular use of tobacco- or nicotine-containing products within 6 months prior to screening (for subjects taking part in the non-smokers group of the study) ,15.0
663,NCT00945932,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,Urinary cotinine levels indicative of smoking or history or regular use of tobacco- or nicotine-containing products within 6 months prior to screening.,15.0
664,NCT01501942,Phase 2,Asthma,AIM Therapeutics Inc.,10-Feb-15,Asthma,Use of any nicotine containing products within 12 months prior to Screening or a smoking history > 10 pack years,15.0
665,NCT04046939,Phase 2,Eosinophilic Asthma;Asthma,Knopp Biosciences,10-Feb-15,Asthma;Pulmonary Eosinophilia,Use of any smoke or inhaled nicotine delivery device within 1 year prior to Screening,15.0
666,NCT00232999,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,Use of tobacco products within one year starting study or smoking history >10 pack years,15.0
667,NCT04150341,Phase 2,Asthma,Theravance Biopharma,10-Feb-15,Asthma,Uses or have used tobacco or nicotine-containing products within 6 months prior to screening,15.0
668,NCT02388997,Phase 2,Asthma,University of Virginia,10-Feb-15,Infections;Asthma,"Who have a 5 pack/year history of smoking, or any smoking within the last 6 months.",15.0
669,NCT03643874,Phase 2,Asthma,"Concentrx Pharmaceuticals, Inc.",10-Feb-15,Asthma,"A woman who is pregnant (has a positive serum pregnancy test at Screening Visit), is lactating, or is likely/planning to become pregnant during the study",16.0
670,NCT02293499,Phase 2,Asthma,University of Rochester,10-Feb-15,Asthma,Adolescents who are pregnant or incarcerated at enrollment;,16.0
671,NCT00278083,Phase 2,Asthma,Imperial College London,10-Feb-15,Asthma,"Are pregnant, nursing, or planning a pregnancy within 12 months of enrolment",16.0
672,NCT00017693,Phase 2,Asthma,National Institute of Allergy and Infectious Diseases (NIAID),10-Feb-15,Asthma,Are pregnant or breast-feeding.,16.0
673,NCT02898662,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"Breast feeding, pregnancy or intention to become pregnant during the course of the study",16.0
674,NCT01999907,Phase 2,Asthma,St. Justine's Hospital,10-Feb-15,Asthma,breastfed infants with no vitamin D supplementation,16.0
675,NCT04098718,Phase 2,Asthma;COPD,University of Oxford,10-Feb-15,,"Female participant who is pregnant, lactating or breast-feeding. Additional exclusion criteria on day of exacerbation (Visit 2)",16.0
676,NCT02087644,Phase 2,Asthma,Cytos Biotechnology AG,10-Feb-15,Asthma,Female planning to become pregnant during the study period,16.0
677,NCT01656811,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Female subject was pregnant or lactating.,16.0
678,NCT00583947,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Female subject who is pregnant or lactating.,16.0
679,NCT00684827,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Female subject who is pregnant or lactating.,16.0
680,NCT00684866,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Female subject who is pregnant or lactating.,16.0
681,NCT00685022,Phase 2,Asthma,Sunovion,10-Feb-15,Asthma,Female subject who is pregnant or lactating.,16.0
682,NCT00685347,Phase 2,Asthma;Bronchoconstriction,Sunovion,10-Feb-15,Asthma,Female subject who is pregnant or lactating.,16.0
683,NCT02422121,Phase 2,Asthma,Revalesio Corporation,10-Feb-15,Asthma,"Female subjects who are pregnant, trying to become pregnant or lactating.",16.0
684,NCT00679263,Phase 2,Asthma,MediciNova,10-Feb-15,Asthma,Female subjects who are pregnant or lactating;,16.0
685,NCT00587288,Phase 2,Asthma,Ception Therapeutics,10-Feb-15,Asthma,female subjects who are pregnant or nursing,16.0
686,NCT00394914,Phase 2,Asthma;Common Cold;Picornavirus Infection;Rhinovirus,Merck Sharp & Dohme Corp.,10-Feb-15,Common Cold;Picornaviridae Infections;Asthma,"Female who is breast-feeding, pregnant, or intends to become pregnant.",16.0
687,NCT02491684,Phase 2,Asthma,AstraZeneca,10-Feb-15,Infections;Respiratory Tract Infections;Asthma,"Female who is breast-feeding, pregnant (verified by urine dipstick pregnancy test) or intends to become pregnant during the study",16.0
688,NCT01501942,Phase 2,Asthma,AIM Therapeutics Inc.,10-Feb-15,Asthma,Females who are pregnant or are lactating,16.0
689,NCT00512863,Phase 2,Asthma,Abbott,10-Feb-15,Asthma,Females who are pregnant or will not discontinue breast-feeding.,16.0
690,NCT01765192,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,"If female, is pregnant or lactating or intending to become pregnant before, during, or within 1 month after participating in this study; or intending to donate ova during such time period",16.0
691,NCT00232999,Phase 2,Asthma,"Teva Branded Pharmaceutical Products R&D, Inc.",10-Feb-15,Asthma,"If female, pregnant or lactating or have positive pregnancy test at screening ",16.0
692,NCT00483041,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Is a nursing mother at the time of screening;,16.0
693,NCT00688467,Phase 2,Asthma,Merck Sharp & Dohme Corp.,10-Feb-15,Asthma,"Is pregnant, breast-feeding, or intends to become pregnant during the study.",16.0
694,NCT02794519,Phase 2,Asthma,GlaxoSmithKline,10-Feb-15,Asthma,"Lactating, pregnant, or planning to become pregnant during the study.",16.0
695,NCT00507130,Phase 2,Asthma,MedImmune LLC,10-Feb-15,Asthma,Lactating or breastfeeding woman;,16.0
696,NCT01993329,Phase 2,Asthma,"Afferent Pharmaceuticals, Inc.",10-Feb-15,Asthma,Male participants with pregnant female partners.,16.0
697,NCT02740868,Phase 2,Cystic Fibrosis;Asthma,The Hospital for Sick Children,10-Feb-15,Cystic Fibrosis;Fibrosis,Participant is pregnant or lactating,16.0
698,NCT00783601,Phase 2,Asthma,Merck Sharp & Dohme Corp.,10-Feb-15,Asthma,Patient is pregnant or breast-feeding ,16.0
699,NCT00686335,Phase 2,Asthma,"Horizon Pharma Ireland, Ltd., Dublin Ireland",10-Feb-15,Asthma,Pregnancy or breastfeeding,16.0
700,NCT01544634,Phase 2,Asthma,University of Dundee,10-Feb-15,Asthma;Respiratory Hypersensitivity,Pregnancy or lactation,16.0
701,NCT04353310,Phase 2,Asthma,Loma Linda University,10-Feb-15,Asthma,Pregnancy or lactation,16.0
702,NCT01348139,Phase 2,Asthma,AstraZeneca,10-Feb-15,Asthma,Pregnancy or lactation ,16.0
703,NCT00983658,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,Pregnancy or lactation or positive serum pregnancy test at screening,16.0
704,NCT01196039,Phase 2,Asthma,"Genentech, Inc.",10-Feb-15,Asthma;Airway Obstruction,Pregnancy or lactation or positive serum pregnancy test at screening,16.0
